epoch,learning_rate,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds,elapsed_seconds
1,0.001,4.851613720703125,0.04041111111111111,4.600165498352051,0.0623,298.5363685420016,298.5363685420016
2,0.001,4.455422840796577,0.08081111111111111,4.327374545288086,0.0975,313.96355120802764,612.4999197500292
3,0.001,4.238966582743327,0.1092,4.190104418945313,0.1186,309.855521707912,922.3554414579412
4,0.001,4.0539396080864805,0.13355555555555557,3.9717193344116213,0.1447,308.84395354101434,1231.1993949989555
5,0.001,3.878567836888631,0.15812222222222222,3.825271110534668,0.1646,313.4590308329789,1544.6584258319344
6,0.001,3.7030656882392035,0.18438888888888888,3.67240684967041,0.1926,312.7273925419431,1857.3858183738776
7,0.001,3.5459785634358725,0.20807777777777778,3.5773582260131835,0.2163,312.54025466600433,2169.926073039882
8,0.001,3.3904362639957,0.23182222222222224,3.4681341957092284,0.2274,314.33863733301405,2484.264710372896
9,0.001,3.2342942108578154,0.25843333333333335,3.3779938526153566,0.2418,313.5145453750156,2797.7792557479115
10,0.001,3.085300121815999,0.28354444444444443,3.3024464511871336,0.2558,315.2121904999949,3112.9914462479064
11,0.001,2.933564788564046,0.3093666666666667,3.2190197505950926,0.2789,313.90287450002506,3426.8943207479315
12,0.001,2.779617322709825,0.33664444444444447,3.173376580810547,0.2918,312.74226591701154,3739.636586664943
13,0.001,2.638392648188273,0.3611888888888889,3.2106372005462647,0.2919,315.9734684169525,4055.6100550818956
14,0.001,2.4835113498263888,0.39086666666666664,3.149531622314453,0.302,316.41655287495814,4372.026607956854
15,0.001,2.3286580996619333,0.4192111111111111,3.176830171966553,0.3085,315.2025154590374,4687.229123415891
16,0.001,2.1740925047980415,0.45015555555555553,3.205220452880859,0.3023,315.5643492079107,5002.793472623802
17,0.001,2.0146658162858753,0.48215555555555556,3.2509229831695556,0.309,316.6435546670109,5319.437027290813
18,0.001,1.8721809635162354,0.5116,3.3321953556060793,0.2998,314.81803395797033,5634.255061248783
19,0.001,1.7133467365264892,0.5459,3.425226829910278,0.3007,315.9756671669893,5950.230728415772
20,0.001,1.5751906436284384,0.5746666666666667,3.527721266937256,0.3008,314.80189825000707,6265.032626665779
21,0.001,1.4410095799128215,0.6032777777777778,3.645281558227539,0.3002,317.6693673749687,6582.701994040748
22,0.0005,0.9831183741463555,0.7242,3.8036883522033693,0.3068,315.9166892080102,6898.618683248758
23,0.0005,0.8343681156476339,0.765,3.931053905105591,0.3129,315.9444002090022,7214.5630834577605
24,0.0005,0.7432700236532424,0.7844444444444445,4.066442746353149,0.3076,315.3779417090118,7529.941025166772
25,0.0005,0.6632260809792413,0.8049777777777778,4.246533573150635,0.3002,316.39981050009374,7846.340835666866
26,0.0005,0.6033016447597079,0.8204222222222223,4.412272631072998,0.3028,314.384589958936,8160.725425625802
27,0.0005,0.5577188490231831,0.8313333333333334,4.510894409942627,0.3058,315.0599103339482,8475.78533595975
28,0.00025,0.3741857165071699,0.8904,4.563485435485839,0.3106,314.78804762498476,8790.573383584735
29,0.00025,0.3193428488254547,0.9076666666666666,4.657267718505859,0.3087,313.5515464170603,9104.124930001795
30,0.00025,0.29361031113465624,0.9138555555555555,4.737948349761963,0.3114,314.4717967499746,9418.59672675177
31,0.00025,0.26805553675757515,0.9222777777777778,4.824945895385742,0.3101,316.11573824996594,9734.712465001736
